,0
label_Hobbies & Interests>Cigars,0
label_Hobbies & Interests>Collecting,0
label_Hobbies & Interests>Content Production>Video Production,1
label_Hobbies & Interests>Games and Puzzles,0
label_Hobbies & Interests>Games and Puzzles>Board Games and Puzzles,1
label_Hobbies & Interests>Games and Puzzles>Card Games,1
label_Hobbies & Interests>Games and Puzzles>Roleplaying Games,0
label_Hobbies & Interests>Genealogy and Ancestry,0
label_Hobbies & Interests>Musical Instruments,0
label_Hobbies & Interests>Radio Control,0
label_Hobbies & Interests>Sci-fi and Fantasy,0
label_Hobbies & Interests>Workshops and Classes,0
label_Home & Garden,10
label_Home & Garden>Gardening,1
label_Home & Garden>Home Appliances,1
label_Home & Garden>Home Entertaining,0
label_Home & Garden>Home Improvement,0
label_Home & Garden>Interior Decorating,0
label_Home & Garden>Landscaping,0
label_Medical Health,2
label_Medical Health>Diseases and Conditions,15
label_Medical Health>Diseases and Conditions>Allergies,1
label_Medical Health>Diseases and Conditions>Blood Disorders,0
label_Medical Health>Diseases and Conditions>Brain and Nervous System Disorders,1
label_Medical Health>Diseases and Conditions>Cancer,0
label_Medical Health>Diseases and Conditions>Cold and Flu,1
label_Medical Health>Diseases and Conditions>Dental Health,0
label_Medical Health>Diseases and Conditions>Digestive Disorders,0
label_Medical Health>Diseases and Conditions>Infectious Diseases,0
label_Medical Health>Diseases and Conditions>Injuries,0
label_Medical Health>Diseases and Conditions>Injuries>First Aid,0
label_Medical Health>Diseases and Conditions>Lung and Respiratory Health,0
label_Medical Health>Diseases and Conditions>Mental Health,0
label_Medical Health>Diseases and Conditions>Reproductive Health,1
label_Medical Health>Diseases and Conditions>Sexual Health,0
label_Medical Health>Diseases and Conditions>Sleep Disorders,1
label_Medical Health>Pharmaceutical Drugs,3
label_Medical Health>Surgery,0
label_Medical Health>Vaccines,3
label_Movies,34
label_Movies>World Movies,0
label_Music and Audio,18
label_Music and Audio>Children's Music,0
label_Music and Audio>Classical Music,0
label_Music and Audio>Dance and Electronic Music,0
label_Music and Audio>World/International Music,0
label_News and Politics,2
label_News and Politics>Crime,6
label_News and Politics>Disasters,11
label_News and Politics>International News,0
label_News and Politics>Law,0
label_News and Politics>Local News,0
label_News and Politics>National News,2
label_News and Politics>Politics,3
label_News and Politics>Politics>Elections,0
label_News and Politics>Politics>Political Issues,0
label_News and Politics>Politics>War and Conflicts,2
label_News and Politics>Weather,1090
label_Personal Finance>Financial Assistance>Government Support and Welfare,0
label_Personal Finance>Home Utilities>Water Services,1
label_Personal Finance>Insurance,0
label_Personal Finance>Insurance>Health Insurance,0
label_Personal Finance>Insurance>Motor Insurance,0
label_Personal Finance>Insurance>Travel Insurance,0
label_Personal Finance>Personal Debt,0
label_Personal Finance>Personal Debt>Credit Cards,0
label_Personal Finance>Personal Debt>Home Financing,0
label_Personal Finance>Personal Investing,0
label_Personal Finance>Personal Investing>Hedge Funds,0
label_Pets,1
label_Pets>Cats,1
label_Pets>Dogs,1
label_Pets>Large Animals,63
label_Pets>Pet Supplies,0
label_Pets>Reptiles,0
label_Pets>Veterinary Medicine,0
label_Pop Culture,1
label_Pop Culture>Celebrity Families,0
label_Pop Culture>Celebrity Scandal,0
label_Real Estate,0
label_Real Estate>Apartments,1
label_Real Estate>Developmental Sites,0
label_Real Estate>Land and Farms,1
label_Real Estate>Real Estate Buying and Selling,1
label_Religion & Spirituality,12
label_Religion & Spirituality>Buddhism,0
label_Religion & Spirituality>Christianity,1
label_Religion & Spirituality>Hinduism,0
label_Religion & Spirituality>Islam,0
label_Religion & Spirituality>Judaism,0
label_Science,0
label_Science>Biological Sciences,0
label_Science>Chemistry,2
label_Science>Environment,56
label_Science>Genetics,0
label_Science>Geography,1
label_Science>Geology,0
label_Science>Physics,0
label_Science>Space and Astronomy,8
label_Shopping,8
label_Shopping>Coupons and Discounts,1
label_Shopping>Flower Shopping,3
label_Shopping>Gifts and Greetings Cards,0
label_Shopping>Grocery Shopping,0
label_Shopping>Holiday Shopping,2
label_Shopping>Sales and Promotions,0
label_Sports,0
label_Sports>Auto Racing,0
label_Sports>Badminton,0
label_Sports>Basketball,0
label_Sports>Bodybuilding,0
label_Sports>Bowling,0
label_Sports>Boxing,0
label_Sports>College Sports,0
label_Sports>Cycling,1
label_Sports>Diving,5
label_Sports>Equine Sports,1
label_Sports>Equine Sports>Horse Racing,0
label_Sports>Extreme Sports>Canoeing and Kayaking,4
label_Sports>Extreme Sports>Climbing,27
label_Sports>Extreme Sports>Scuba Diving,1
label_Sports>Extreme Sports>Skateboarding,0
label_Sports>Extreme Sports>Surfing and Bodyboarding,68
label_Sports>Extreme Sports>Waterskiing and Wakeboarding,1
label_Sports>Figure Skating,1
label_Sports>Fishing Sports,3
label_Sports>Golf,1
label_Sports>Gymnastics,0
label_Sports>Hunting and Shooting,0
label_Sports>Ice Hockey,1
label_Sports>Martial Arts,1
label_Sports>Olympic Sports,0
label_Sports>Poker and Professional Gambling,0
label_Sports>Rowing,1
label_Sports>Skiing,38
label_Sports>Soccer,0
label_Sports>Swimming,22
label_Sports>Table Tennis,0
label_Sports>Tennis,0
label_Sports>Track and Field,0
label_Sports>Volleyball,0
label_Style & Fashion,27
label_Style & Fashion>Beauty,2
label_Style & Fashion>Beauty>Hair Care,0
label_Style & Fashion>Beauty>Makeup and Accessories,2
label_Style & Fashion>Beauty>Natural and Organic Beauty,2
label_Style & Fashion>Beauty>Perfume and Fragrance,0
label_Style & Fashion>Beauty>Skin Care,4
label_Style & Fashion>Designer Clothing,0
label_Style & Fashion>High Fashion,0
label_Style & Fashion>Men's Fashion>Men's Accessories,29
